species,date,confidence,alert_count,area_ha
pongo_pygmaeus,2025-08-31,highest,529,6.5075
pongo_pygmaeus,2025-08-31,nominal,6,0.0738
pongo_pygmaeus,2025-09-01,high,6,0.0736
pongo_pygmaeus,2025-09-02,nominal,249,3.0645
pongo_pygmaeus,2025-09-02,highest,20220,248.8254
pongo_pygmaeus,2025-09-02,high,76484,941.2463
pongo_pygmaeus,2025-09-04,high,1009,12.3988
pongo_pygmaeus,2025-09-04,highest,339,4.1583
pongo_pygmaeus,2025-09-04,nominal,8,0.0984
pongo_pygmaeus,2025-09-05,high,427,5.2532
pongo_pygmaeus,2025-09-05,highest,126,1.5499
pongo_pygmaeus,2025-09-07,high,15816,194.6282
pongo_pygmaeus,2025-09-07,highest,5248,64.5736
pongo_pygmaeus,2025-09-07,nominal,66,0.8122
pongo_pygmaeus,2025-09-09,highest,4280,52.6012
pongo_pygmaeus,2025-09-09,nominal,132,1.6214
pongo_pygmaeus,2025-09-09,high,21059,258.6483
pongo_pygmaeus,2025-09-10,high,422,5.1788
pongo_pygmaeus,2025-09-10,highest,208,2.5524
pongo_pygmaeus,2025-09-12,high,2094,25.7721
pongo_pygmaeus,2025-09-12,highest,393,4.8359
pongo_pygmaeus,2025-09-12,nominal,6,0.0738
pongo_pygmaeus,2025-09-14,high,67755,833.8157
pongo_pygmaeus,2025-09-14,highest,17333,213.2869
pongo_pygmaeus,2025-09-14,nominal,268,3.2982
pongo_pygmaeus,2025-09-15,highest,246,3.027
pongo_pygmaeus,2025-09-15,high,806,9.9157
pongo_pygmaeus,2025-09-16,nominal,13,0.1596
pongo_pygmaeus,2025-09-16,high,852,10.4749
pongo_pygmaeus,2025-09-16,highest,223,2.7405
pongo_pygmaeus,2025-09-17,high,5176,63.4584
pongo_pygmaeus,2025-09-17,highest,689,8.4524
pongo_pygmaeus,2025-09-21,high,18679,229.536
pongo_pygmaeus,2025-09-21,highest,5146,63.2626
pongo_pygmaeus,2025-09-21,nominal,168,2.0646
pongo_pygmaeus,2025-09-22,high,6306,77.5779
pongo_pygmaeus,2025-09-22,highest,2442,30.042
pongo_pygmaeus,2025-09-23,highest,14627,179.9827
pongo_pygmaeus,2025-09-23,high,39842,490.2797
pongo_pygmaeus,2025-09-24,nominal,2,0.0246
pongo_pygmaeus,2025-09-24,high,16250,199.995
pongo_pygmaeus,2025-09-24,highest,12948,159.3209
pongo_pygmaeus,2025-09-25,high,51193,628.4235
pongo_pygmaeus,2025-09-25,highest,6040,74.2506
pongo_pygmaeus,2025-09-26,high,73357,902.7619
pongo_pygmaeus,2025-09-26,highest,12557,154.5202
pongo_pygmaeus,2025-09-26,nominal,341,4.1966
pongo_pygmaeus,2025-09-28,high,1618,19.8928
pongo_pygmaeus,2025-09-28,highest,720,8.8428
pongo_pygmaeus,2025-09-28,nominal,8,0.0983
pongo_pygmaeus,2025-09-29,highest,6349,78.1132
pongo_pygmaeus,2025-09-29,high,8520,104.8151
pongo_pygmaeus,2025-10-01,high,38940,479.1825
pongo_pygmaeus,2025-10-01,highest,8777,107.9946
pongo_pygmaeus,2025-10-01,nominal,168,2.0674
pongo_pygmaeus,2025-10-02,high,4419,54.382
pongo_pygmaeus,2025-10-02,highest,2776,34.1587
pongo_pygmaeus,2025-10-03,high,93444,1146.9785
pongo_pygmaeus,2025-10-03,highest,11637,142.9995
pongo_pygmaeus,2025-10-03,nominal,184,2.2605
pongo_pygmaeus,2025-10-04,high,6161,75.4932
pongo_pygmaeus,2025-10-04,highest,103,1.2616
pongo_pygmaeus,2025-10-06,nominal,6,0.0738
pongo_pygmaeus,2025-10-06,highest,1162,14.3006
pongo_pygmaeus,2025-10-06,high,1939,23.8634
pongo_pygmaeus,2025-10-07,high,1537,18.9145
pongo_pygmaeus,2025-10-07,highest,1085,13.3518
pongo_pygmaeus,2025-10-08,high,96412,1186.3174
pongo_pygmaeus,2025-10-08,highest,34159,420.2773
pongo_pygmaeus,2025-10-08,nominal,227,2.7937
pongo_pygmaeus,2025-10-09,high,20553,252.8796
pongo_pygmaeus,2025-10-09,highest,4959,61.0251
pongo_pygmaeus,2025-10-10,highest,445,5.4726
pongo_pygmaeus,2025-10-10,high,1857,22.8351
pongo_pygmaeus,2025-10-10,nominal,4,0.0492
pongo_pygmaeus,2025-10-11,high,4322,53.1787
pongo_pygmaeus,2025-10-11,highest,1617,19.892
pongo_pygmaeus,2025-10-12,high,5188,63.5936
pongo_pygmaeus,2025-10-12,highest,323,3.9603
pongo_pygmaeus,2025-10-13,highest,2334,28.7198
pongo_pygmaeus,2025-10-13,nominal,125,1.5382
pongo_pygmaeus,2025-10-13,high,26163,321.9562
pongo_pygmaeus,2025-10-15,highest,3182,39.1068
pongo_pygmaeus,2025-10-15,nominal,171,2.1012
pongo_pygmaeus,2025-10-15,high,25557,314.0349
pongo_pygmaeus,2025-10-16,highest,410,5.0462
pongo_pygmaeus,2025-10-16,high,1860,22.8901
pongo_pygmaeus,2025-10-17,high,8346,102.6715
pongo_pygmaeus,2025-10-17,highest,4198,51.6519
pongo_pygmaeus,2025-10-18,high,969,11.9221
pongo_pygmaeus,2025-10-18,highest,280,3.4457
pongo_pygmaeus,2025-10-18,nominal,3,0.0369
pongo_pygmaeus,2025-10-20,high,31754,390.7658
