species,date,confidence,alert_count,area_ha
pongo_tapanuliensis,2026-01-27,nominal,41,0.5044
pongo_tapanuliensis,2026-01-27,high,249,3.0636
pongo_tapanuliensis,2026-01-27,highest,94,1.1565
pongo_tapanuliensis,2026-01-28,highest,11835,145.6117
pongo_tapanuliensis,2026-01-28,nominal,7628,93.851
pongo_tapanuliensis,2026-01-28,high,9498,116.8585
pongo_tapanuliensis,2026-02-03,highest,333,4.0971
pongo_tapanuliensis,2026-02-03,nominal,120,1.4764
pongo_tapanuliensis,2026-02-03,high,5255,64.6548
pongo_tapanuliensis,2026-02-05,nominal,128,1.5748
pongo_tapanuliensis,2026-02-05,highest,98,1.2057
pongo_tapanuliensis,2026-02-05,high,118,1.4518
pongo_tapanuliensis,2026-02-13,high,1648,20.2761
pongo_tapanuliensis,2026-02-13,highest,1976,24.3117
pongo_tapanuliensis,2026-02-13,nominal,1724,21.2112
pongo_tapanuliensis,2026-02-15,high,5535,68.0998
pongo_tapanuliensis,2026-02-15,highest,264,3.2481
pongo_tapanuliensis,2026-02-15,nominal,143,1.7594
pongo_tapanuliensis,2026-02-21,high,365,4.4908
pongo_tapanuliensis,2026-02-21,highest,10,0.123
pongo_tapanuliensis,2026-02-21,nominal,3,0.0369
pongo_tapanuliensis,2026-02-27,highest,176,2.1654
pongo_tapanuliensis,2026-02-27,nominal,69,0.8489
pongo_tapanuliensis,2026-02-27,high,3222,39.6418
pongo_tapanuliensis,2026-03-01,high,2807,34.5359
pongo_tapanuliensis,2026-03-01,highest,4796,59.0075
pongo_tapanuliensis,2026-03-01,nominal,6688,82.2857
pongo_tapanuliensis,2026-03-08,high,67,0.8243
pongo_tapanuliensis,2026-03-08,highest,28,0.3445
pongo_tapanuliensis,2026-03-08,nominal,56,0.689
pongo_tapanuliensis,2026-03-09,highest,2,0.0246
pongo_tapanuliensis,2026-03-09,nominal,17,0.2092
pongo_tapanuliensis,2026-03-11,nominal,125,1.5379
pongo_tapanuliensis,2026-03-11,high,6014,73.9932
pongo_tapanuliensis,2026-03-11,highest,189,2.3254
pongo_tapanuliensis,2026-03-17,highest,1061,13.054
pongo_tapanuliensis,2026-03-17,nominal,1881,23.1429
pongo_tapanuliensis,2026-03-17,high,471,5.7949
pongo_tapanuliensis,2026-03-23,high,4168,51.2809
pongo_tapanuliensis,2026-03-23,highest,71,0.8736
pongo_tapanuliensis,2026-03-23,nominal,120,1.4764
pongo_tapanuliensis,2026-03-25,high,38,0.4675
pongo_tapanuliensis,2026-03-25,highest,124,1.5256
pongo_tapanuliensis,2026-03-25,nominal,325,3.9986
pongo_tapanuliensis,2026-04-04,high,7922,97.4682
pongo_tapanuliensis,2026-04-04,highest,113,1.3903
pongo_tapanuliensis,2026-04-04,nominal,183,2.2515
pongo_tapanuliensis,2026-04-05,highest,238,2.9282
pongo_tapanuliensis,2026-04-05,high,8566,105.3916
pongo_tapanuliensis,2026-04-05,nominal,302,3.7157
pongo_tapanuliensis,2026-04-10,nominal,24,0.2953
pongo_tapanuliensis,2026-04-10,high,590,7.2591
pongo_tapanuliensis,2026-04-10,highest,9,0.1107
pongo_tapanuliensis,2026-04-16,high,3480,42.8161
pongo_tapanuliensis,2026-04-16,highest,91,1.1196
pongo_tapanuliensis,2026-04-16,nominal,105,1.2919
pongo_tapanuliensis,2026-04-17,high,1,0.0123
pongo_tapanuliensis,2026-04-22,nominal,27,0.3322
pongo_tapanuliensis,2026-04-22,high,627,7.7143
pongo_tapanuliensis,2026-04-22,highest,6,0.0738
pongo_tapanuliensis,2026-04-26,highest,29,0.3568
pongo_tapanuliensis,2026-04-26,nominal,107,1.3165
pongo_tapanuliensis,2026-04-26,high,28,0.3445
pongo_tapanuliensis,2026-04-28,nominal,2526,31.0786
pongo_tapanuliensis,2026-04-28,high,6198,76.257
pongo_tapanuliensis,2026-04-28,highest,178,2.19
pongo_tapanuliensis,2026-05-10,high,7034,86.5427
pongo_tapanuliensis,2026-05-10,highest,148,1.8209
pongo_tapanuliensis,2026-05-10,nominal,3552,43.702
pongo_tapanuliensis,2026-05-20,high,231,2.8421
pongo_tapanuliensis,2026-05-20,highest,219,2.6945
pongo_tapanuliensis,2026-05-20,nominal,438,5.3889
pongo_tapanuliensis,2026-05-22,high,6100,75.0513
pongo_tapanuliensis,2026-05-22,highest,116,1.4272
pongo_tapanuliensis,2026-05-22,nominal,4702,57.851
pongo_tapanuliensis,2026-05-27,highest,30,0.3691
pongo_tapanuliensis,2026-05-27,nominal,88,1.0827
pongo_tapanuliensis,2026-05-27,high,25,0.3076
pongo_tapanuliensis,2026-05-28,high,254,3.1251
pongo_tapanuliensis,2026-05-28,highest,524,6.447
pongo_tapanuliensis,2026-05-28,nominal,2153,26.4894
pongo_tapanuliensis,2026-06-03,high,6093,74.9651
pongo_tapanuliensis,2026-06-03,highest,117,1.4395
pongo_tapanuliensis,2026-06-03,nominal,6342,78.0287
pongo_tapanuliensis,2026-06-13,nominal,4,0.0492
pongo_tapanuliensis,2026-06-15,high,2057,25.3083
pongo_tapanuliensis,2026-06-15,highest,85,1.0458
pongo_tapanuliensis,2026-06-15,nominal,3073,37.8086
pongo_tapanuliensis,2026-06-20,nominal,21,0.2584
pongo_tapanuliensis,2026-06-27,nominal,6339,77.9918
pongo_tapanuliensis,2026-06-27,highest,154,1.8947
pongo_tapanuliensis,2026-06-27,high,2658,32.7027
pongo_tapanuliensis,2026-06-28,high,281,3.4573
pongo_tapanuliensis,2026-06-28,highest,3,0.0369
